,pair,sentence,attitude
3240,"ес,сша"," Все они были направлены против коррупции и злоупотребления властью двух вещей занимающих высокое место в повестке дня ЕС и США в регионе
 Так как ЕС вел себя нерешительно и неэффективно будучи погружен в свои внутренние проблемы то США выступили в роли стабилизатора европейской периферии 
",neutral
3241,"запад,кремль"," Проблема однако в том что Западу все еще нужно сотрудничество Кремля по другим вопросам например в области возможного решения сирийского конфликта где Кремль сделал себя главным игроком 
 Проблема однако в том что Западу все еще нужно сотрудничество Кремля по другим вопросам например в области возможного решения сирийского конфликта где Кремль сделал себя главным игроком 
",neutral
3242,"запад,россия"," После того как 2014 году кризис на Украине перерос в насильственный конфликт судьба внутренних протестов и их возможности добиваться выполнения своих требований оказались подчинены геополитическому соперничеству Запада с Россией 
",neg
3243,"киев,джеффри пайетт"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3244,"киев,украина"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3245,"кремль,донбасс"," Это восприятие и обусловило реакцию Кремля на Евромайдан в том числе российскую оккупацию и аннексию Крымского полуострова а также открытую и тайную поддержку мятежников на Донбассе что дискредитировало Россию как «партнера» для Запада
",pos
3246,"кремль,крымский полуостров"," Это восприятие и обусловило реакцию Кремля на Евромайдан в том числе российскую оккупацию и аннексию Крымского полуострова а также открытую и тайную поддержку мятежников на Донбассе что дискредитировало Россию как «партнера» для Запада
",neutral
3247,"кремль,россия"," Это восприятие и обусловило реакцию Кремля на Евромайдан в том числе российскую оккупацию и аннексию Крымского полуострова а также открытую и тайную поддержку мятежников на Донбассе что дискредитировало Россию как «партнера» для Запада
",neutral
3248,"кремль,сша"," Кремль считает что в частности США спонсировали разнообразные «цветные революции» на постсоветском пространстве 
",neg
3249,"кремль,югославия"," Кремль постоянно говорил об унижении нанесенном западными односторонними действиями в бывшей Югославии 
",neutral
3250,"крым,донбасс"," Пока западные страны пытались сформулировать ответ на оккупацию Крыма и оккупацию Донбасса в 2014 году российское отрицательное влияние на Евросоюз стало главной темой для разговоров 
",neutral
3251,"крым,евросоюз"," Пока западные страны пытались сформулировать ответ на оккупацию Крыма и оккупацию Донбасса в 2014 году российское отрицательное влияние на Евросоюз стало главной темой для разговоров 
",neutral
3252,"крымский полуостров,донбасс"," Это восприятие и обусловило реакцию Кремля на Евромайдан в том числе российскую оккупацию и аннексию Крымского полуострова а также открытую и тайную поддержку мятежников на Донбассе что дискредитировало Россию как «партнера» для Запада
",neutral
3253,"крымский полуостров,россия"," Это восприятие и обусловило реакцию Кремля на Евромайдан в том числе российскую оккупацию и аннексию Крымского полуострова а также открытую и тайную поддержку мятежников на Донбассе что дискредитировало Россию как «партнера» для Запада
",neutral
3254,"македония,никола греувский"," В Македонии правительство ВМРОДПМНЕ Николы Греувского столкнулось с самыми масштабными акциями протеста в истории страны получившими название цветной революции спровоцированными коррупцией и злоупотреблением властью
",neutral
3255,"мило джуканович,джуканович"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3256,"мило джуканович,милошевич"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3257,"мило джуканович,россия"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3258,"милошевич,александр вучич"," В соседней Сербии еще один бывший союзник Милошевича превратившийся в прозападного политика Александр Вучич пока сумел справиться с противоречивым отношением к себе в своей стране и избежать напряженности с ЕС получив американскую поддержку так как в воздухе все еще парил призрак пророссийской Сербии
",neutral
3259,"милошевич,джуканович"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3260,"милошевич,ес"," В соседней Сербии еще один бывший союзник Милошевича превратившийся в прозападного политика Александр Вучич пока сумел справиться с противоречивым отношением к себе в своей стране и избежать напряженности с ЕС получив американскую поддержку так как в воздухе все еще парил призрак пророссийской Сербии
",neutral
3261,"милошевич,запад"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3262,"милошевич,россия"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3263,"молдавия,ассоциация"," Так же как и Украина Молдавия подписала соглашение об Ассоциации с Европейским союзом и оказалась под давлением со стороны России
",neutral
3264,"молдавия,европейский союз"," Так же как и Украина Молдавия подписала соглашение об Ассоциации с Европейским союзом и оказалась под давлением со стороны России
",pos
3265,"молдавия,македония"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3266,"молдавия,николай тимофти"," Оказавшись под сильным давлением массовых протестов президент Молдавии Николае Тимофти отклонил его кандидатуру и назначил премьерминистром соратника Плахотнюка Павла Филипа 
",neutral
3267,"молдавия,плахотнюк павел филип"," Оказавшись под сильным давлением массовых протестов президент Молдавии Николае Тимофти отклонил его кандидатуру и назначил премьерминистром соратника Плахотнюка Павла Филипа 
",neutral
3268,"молдавия,сербия"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3269,"молдавия,черногория"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3270,"москва,германия"," Москва также предположительно повлияла на общественное мнение в Нидерландах в преддверии референдума по Украине и разместила в Германии законсервированные ячейки из бывших спецназовцев готовы действовать по приказу Москвы
",neutral
3271,"москва,нато"," Москва со своей стороны считает что западные страны нарушили все свои обещания не расширять НАТО и не проводить политику по окружению России 
",neg
3272,"москва,нидерланды"," Москва также предположительно повлияла на общественное мнение в Нидерландах в преддверии референдума по Украине и разместила в Германии законсервированные ячейки из бывших спецназовцев готовы действовать по приказу Москвы
",neutral
3273,"москва,россия"," Москва со своей стороны считает что западные страны нарушили все свои обещания не расширять НАТО и не проводить политику по окружению России 
",neutral
3274,"москва,украина"," Москва также предположительно повлияла на общественное мнение в Нидерландах в преддверии референдума по Украине и разместила в Германии законсервированные ячейки из бывших спецназовцев готовы действовать по приказу Москвы
",neutral
3275,"московский государственный университет,европа"," Мракобес Александр Дугин профессор Московского государственного университета и автор политической теории «Нового Евразийства» считающийся «мозгом Путина» предположительно старается влиять на Европу и за ее пределами как следует из его недавнего выражения «поддержки» кандидату в президенты США Дональду Трампу
",neutral
3276,"московский государственный университет,сша"," Мракобес Александр Дугин профессор Московского государственного университета и автор политической теории «Нового Евразийства» считающийся «мозгом Путина» предположительно старается влиять на Европу и за ее пределами как следует из его недавнего выражения «поддержки» кандидату в президенты США Дональду Трампу
",neutral
3277,"нато,россия"," Москва со своей стороны считает что западные страны нарушили все свои обещания не расширять НАТО и не проводить политику по окружению России 
",neutral
3278,"нидерланды,германия"," Москва также предположительно повлияла на общественное мнение в Нидерландах в преддверии референдума по Украине и разместила в Германии законсервированные ячейки из бывших спецназовцев готовы действовать по приказу Москвы
",neutral
3279,"нидерланды,украина"," Москва также предположительно повлияла на общественное мнение в Нидерландах в преддверии референдума по Украине и разместила в Германии законсервированные ячейки из бывших спецназовцев готовы действовать по приказу Москвы
",neutral
3280,"николай тимофти,плахотнюк павел филип"," Оказавшись под сильным давлением массовых протестов президент Молдавии Николае Тимофти отклонил его кандидатуру и назначил премьерминистром соратника Плахотнюка Павла Филипа 
",neutral
3281,"нуланд,джеффри пайетт"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3282,"нуланд,киев"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3283,"нуланд,пайетт"," Вдобавок Виктория Нуланд регулярно посещала Украину и встречалась с должностными лицами а Пайетт активно комментировал выполнение необходимых реформ на Украине
",neutral
3284,"нуланд,сша"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3285,"нуланд,украина"," Вдобавок Виктория Нуланд регулярно посещала Украину и встречалась с должностными лицами а Пайетт активно комментировал выполнение необходимых реформ на Украине
",pos
3286,"петр порошенко,джо байден"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3287,"петр порошенко,порошенко"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3288,"петр порошенко,украина"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3289,"плахотнюк,влад филат"," Предположительно Плахотнюк стоял за организацией ареста премьерминистра Влада Филата за то что получило название «ограбления века» когда стало известно о мошенничестве на миллиард долларов 
",neg
3290,"плахотнюк,нуланд"," Чтобы преодолеть массовые протесты Плахотнюк посетил США в составе молдавской делегации и встретился с Нуланд 
",neutral
3291,"плахотнюк,сша"," Чтобы преодолеть массовые протесты Плахотнюк посетил США в составе молдавской делегации и встретился с Нуланд 
",neutral
3292,"польша,антоний мачеревич"," Министр обороны Польши Антоний Мачеревич открыто утверждает что бывший президент Польши был убит Россией в подстроенной авиакатастрофе под Смоленском в апреле 2010 года 
",neutral
3293,"польша,нато"," Хотя США осторожно критикуют новое польское правительство они считают Польшу важным союзником в деле размещения войск НАТО у восточных границ для противодействия вероятной угрозе
",neutral
3294,"польша,россия"," Министр обороны Польши Антоний Мачеревич открыто утверждает что бывший президент Польши был убит Россией в подстроенной авиакатастрофе под Смоленском в апреле 2010 года 
 Польша считает Россию главной угрозой своему существованию 
",neg
3295,"польша,смоленский"," Министр обороны Польши Антоний Мачеревич открыто утверждает что бывший президент Польши был убит Россией в подстроенной авиакатастрофе под Смоленском в апреле 2010 года 
",neutral
3296,"порошенко,байден"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3297,"порошенко,джо байден"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3298,"порошенко,украина"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3299,"порошенко,юрий луценко"," Однако произошедшие не вызывает энтузиазма так как Порошенко назначил генпрокурором не имеющего необходимой подготовки союзника Юрия Луценко а парламент провел законы чтобы обеспечить легальность этого назначения 
",pos
3300,"россия,запад"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
 Вместо того чтобы «противостоять» России Запад должен продвигать те ценности в приверженности которым он клянется как у себя дома так и на восточной периферии

",neg
3301,"россия,смоленский"," Министр обороны Польши Антоний Мачеревич открыто утверждает что бывший президент Польши был убит Россией в подстроенной авиакатастрофе под Смоленском в апреле 2010 года 
",neutral
3302,"россия,сша"," За минувшие два года стремление американской администрации укрепить постмайдановскую Украину против России заставило США снисходительно относиться к новому украинскому правительству 
",neutral
3303,"сербия,александр вучич"," В соседней Сербии еще один бывший союзник Милошевича превратившийся в прозападного политика Александр Вучич пока сумел справиться с противоречивым отношением к себе в своей стране и избежать напряженности с ЕС получив американскую поддержку так как в воздухе все еще парил призрак пророссийской Сербии
",neutral
3304,"сербия,ес"," В соседней Сербии еще один бывший союзник Милошевича превратившийся в прозападного политика Александр Вучич пока сумел справиться с противоречивым отношением к себе в своей стране и избежать напряженности с ЕС получив американскую поддержку так как в воздухе все еще парил призрак пророссийской Сербии
",neutral
3305,"сербия,македония"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3306,"сербия,милошевич"," В соседней Сербии еще один бывший союзник Милошевича превратившийся в прозападного политика Александр Вучич пока сумел справиться с противоречивым отношением к себе в своей стране и избежать напряженности с ЕС получив американскую поддержку так как в воздухе все еще парил призрак пророссийской Сербии
",neutral
3307,"сми,германия"," Российские внутренние и международные СМИ перешли в режим «гиперскорости» пророссийские политики не последним из которых был один бывший канцлер Германии и бизнесмены в Европе не прекращали попыток добиться отмены санкций
",neutral
3308,"сми,европа"," Российские внутренние и международные СМИ перешли в режим «гиперскорости» пророссийские политики не последним из которых был один бывший канцлер Германии и бизнесмены в Европе не прекращали попыток добиться отмены санкций
",neutral
3309,"сша,джеффри пайетт"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3310,"сша,ес"," Например США поддерживают лидеров чья внутренняя политика становится довольно проблематичной но кто открыто выступает за ЕС объявляет о проевропейской и прозападной позиции
 Несмотря на свои заявления о необходимости искоренить коррупцию как США так и ЕС выразили поддержку Плахотнюку хотя он не занимает никакую формальную должность во власти 
",pos
3311,"сша,киев"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
",neutral
3312,"сша,мвф"," После российских действий на фоне Евромайдана США выступили в роли главного гаранта для получения крайне необходимого кредита от МВФ для поддержания на плаву украинской экономики 
",neutral
3313,"сша,нато"," Хотя США осторожно критикуют новое польское правительство они считают Польшу важным союзником в деле размещения войск НАТО у восточных границ для противодействия вероятной угрозе
",neutral
3314,"сша,нуланд"," Чтобы преодолеть массовые протесты Плахотнюк посетил США в составе молдавской делегации и встретился с Нуланд 
",neutral
3315,"сша,пайетт"," США не считали отставку положительным шагом но посол Пайетт распространил заявление выразив поддержку приверженности украинского правительства к реформам 
",neutral
3316,"сша,петр порошенко"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",pos
3317,"сша,плахотнюк"," Несмотря на свои заявления о необходимости искоренить коррупцию как США так и ЕС выразили поддержку Плахотнюку хотя он не занимает никакую формальную должность во власти 
",pos
3318,"сша,польша"," Хотя США осторожно критикуют новое польское правительство они считают Польшу важным союзником в деле размещения войск НАТО у восточных границ для противодействия вероятной угрозе
",pos
3319,"сша,порошенко"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3320,"сша,украина"," Во время революции Евромайдана был опубликован секретный разговор между заместителем госсекретаря Викторией Нуланд и послом США в Киеве Джеффри Пайеттом свидетельствовавший о возможном вмешательстве во внутренние дела Украины и пренебрежительном отношении к Евросоюзу
 США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",pos
3321,"украина,ассоциация"," Так же как и Украина Молдавия подписала соглашение об Ассоциации с Европейским союзом и оказалась под давлением со стороны России
",neutral
3322,"украина,байден"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3323,"украина,германия"," Москва также предположительно повлияла на общественное мнение в Нидерландах в преддверии референдума по Украине и разместила в Германии законсервированные ячейки из бывших спецназовцев готовы действовать по приказу Москвы
",neutral
3324,"украина,джо байден"," США стали надежным сторонником постмайдановского украинского правительства и нового президента Петра Порошенко одного из самых богатых олигархов Украины с которым предположительно вицепрезидент Джо Байден проводит больше времени в телефонных разговорах чем со своей женой
",neutral
3325,"украина,европейский союз"," Так же как и Украина Молдавия подписала соглашение об Ассоциации с Европейским союзом и оказалась под давлением со стороны России
",pos
3326,"украина,запад"," После того как 2014 году кризис на Украине перерос в насильственный конфликт судьба внутренних протестов и их возможности добиваться выполнения своих требований оказались подчинены геополитическому соперничеству Запада с Россией 
",neutral
3327,"украина,молдавия"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
 Так же как и Украина Молдавия подписала соглашение об Ассоциации с Европейским союзом и оказалась под давлением со стороны России
",neutral
3328,"украина,пайетт"," Вдобавок Виктория Нуланд регулярно посещала Украину и встречалась с должностными лицами а Пайетт активно комментировал выполнение необходимых реформ на Украине
",neutral
3329,"украина,россия"," После того как 2014 году кризис на Украине перерос в насильственный конфликт судьба внутренних протестов и их возможности добиваться выполнения своих требований оказались подчинены геополитическому соперничеству Запада с Россией 
 За минувшие два года стремление американской администрации укрепить постмайдановскую Украину против России заставило США снисходительно относиться к новому украинскому правительству 
 С учетом ее действий на Украине Россия просто не может считаться партнером заслуживающим доверия 
",neg
3330,"украина,сербия"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3331,"украина,сша"," За минувшие два года стремление американской администрации укрепить постмайдановскую Украину против России заставило США снисходительно относиться к новому украинскому правительству 
",neutral
3332,"украина,черногория"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3333,"филип бридлать,россия"," Как сказа натовский генерал Филип Бридлав Россия старается использовать мигрантский кризис как оружие
",neg
3334,"черногория,джуканович"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
3335,"черногория,македония"," Тем временем с 2013 года в регионе прошло множество антиправительственных выступлений не только на Украине но также в Молдавии Черногории Сербии Македонии и других странах 
",neutral
3336,"черногория,мило джуканович"," Когда в Черногории начались протесты против давнего лидера Мило Джукановича в прошлом — союзника Милошевича Джукановичу было достаточно сказать что против него выступила Россия чтобы заручиться поддержкой Запада 
",neutral
